season,country,quarter,semi,final,won,highest
2024/25,England,2,1,0,0
2024/25,Spain,2,1,0,0
2024/25,France,1,1,1,1
2024/25,Germany,2,0,0,0
2024/25,Italy,1,1,1,0
2023/24,England,2,0,0,0,1
2023/24,Spain,3,1,1,1,4
2023/24,Germany,2,2,1,0,3
2023/24,France,1,1,0,0,2
2023/24,Italy,0,0,0,0,0
2023/24,Portugal,0,0,0,0,0
2023/24,Holland,0,0,0,0,0
2023/24,Turkiye,0,0,0,0,0
2023/24,Cyprus,0,0,0,0,0
2023/24,Ukraine,0,0,0,0,0
2023/24,Russia,0,0,0,0,0
2023/24,Greece,0,0,0,0,0
2023/24,Norway,0,0,0,0,0
2023/24,Poland,0,0,0,0,0
2023/24,Sweden,0,0,0,0,0
2023/24,Crotia,0,0,0,0,0
2023/24,Belgium,0,0,0,0,0
2023/24,Scotland,0,0,0,0,0
2023/24,Serbia,0,0,0,0,0
2023/24,Czechia,0,0,0,0,0
2023/24,Bulgaria,0,0,0,0,0
2023/24,Romania,0,0,0,0,0
2023/24,Denmark,0,0,0,0,0
2023/24,Finland,0,0,0,0,0
2023/24,Austria,0,0,0,0,0
2023/24,Belarus,0,0,0,0,0
2023/24,Switzerland,0,0,0,0,0
2023/24,Armenia,0,0,0,0,0
2023/24,Hungary,0,0,0,0,0
2023/24,Northern Ireland,0,0,0,0,0
2022/23,England,2,1,1,1,4
2022/23,Spain,1,1,0,0,2
2022/23,Germany,1,0,0,0,1
2022/23,France,0,0,0,0,0
2022/23,Italy,3,2,1,0,3
2022/23,Portugal,1,0,0,0,1
2022/23,Holland,0,0,0,0,0
2022/23,Turkiye,0,0,0,0,0
2022/23,Cyprus,0,0,0,0,0
2022/23,Ukraine,0,0,0,0,0
2022/23,Russia,0,0,0,0,0
2022/23,Greece,0,0,0,0,0
2022/23,Norway,0,0,0,0,0
2022/23,Poland,0,0,0,0,0
2022/23,Sweden,0,0,0,0,0
2022/23,Crotia,0,0,0,0,0
2022/23,Belgium,0,0,0,0,0
2022/23,Scotland,0,0,0,0,0
2022/23,Serbia,0,0,0,0,0
2022/23,Czechia,0,0,0,0,0
2022/23,Bulgaria,0,0,0,0,0
2022/23,Romania,0,0,0,0,0
2022/23,Denmark,0,0,0,0,0
2022/23,Finland,0,0,0,0,0
2022/23,Austria,0,0,0,0,0
2022/23,Belarus,0,0,0,0,0
2022/23,Switzerland,0,0,0,0,0
2022/23,Armenia,0,0,0,0,0
2022/23,Hungary,0,0,0,0,0
2022/23,Northern Ireland,0,0,0,0,0
2021/22,England,3,2,1,0,3
2021/22,Spain,3,2,1,1,4
2021/22,Germany,1,0,0,0,1
2021/22,France,0,0,0,0,0
2021/22,Italy,0,0,0,0,0
2021/22,Portugal,1,0,0,0,1
2021/22,Holland,0,0,0,0,0
2021/22,Turkiye,0,0,0,0,0
2021/22,Cyprus,0,0,0,0,0
2021/22,Ukraine,0,0,0,0,0
2021/22,Russia,0,0,0,0,0
2021/22,Greece,0,0,0,0,0
2021/22,Norway,0,0,0,0,0
2021/22,Poland,0,0,0,0,0
2021/22,Sweden,0,0,0,0,0
2021/22,Crotia,0,0,0,0,0
2021/22,Belgium,0,0,0,0,0
2021/22,Scotland,0,0,0,0,0
2021/22,Serbia,0,0,0,0,0
2021/22,Czechia,0,0,0,0,0
2021/22,Bulgaria,0,0,0,0,0
2021/22,Romania,0,0,0,0,0
2021/22,Denmark,0,0,0,0,0
2021/22,Finland,0,0,0,0,0
2021/22,Austria,0,0,0,0,0
2021/22,Belarus,0,0,0,0,0
2021/22,Switzerland,0,0,0,0,0
2021/22,Armenia,0,0,0,0,0
2021/22,Hungary,0,0,0,0,0
2021/22,Northern Ireland,0,0,0,0,0
2020/21,England,3,2,2,1,4
2020/21,Spain,1,1,0,0,2
2020/21,Germany,2,0,0,0,1
2020/21,France,1,1,0,0,2
2020/21,Italy,0,0,0,0,0
2020/21,Portugal,1,0,0,0,1
2020/21,Holland,0,0,0,0,0
2020/21,Turkiye,0,0,0,0,0
2020/21,Cyprus,0,0,0,0,0
2020/21,Ukraine,0,0,0,0,0
2020/21,Russia,0,0,0,0,0
2020/21,Greece,0,0,0,0,0
2020/21,Norway,0,0,0,0,0
2020/21,Poland,0,0,0,0,0
2020/21,Sweden,0,0,0,0,0
2020/21,Crotia,0,0,0,0,0
2020/21,Belgium,0,0,0,0,0
2020/21,Scotland,0,0,0,0,0
2020/21,Serbia,0,0,0,0,0
2020/21,Czechia,0,0,0,0,0
2020/21,Bulgaria,0,0,0,0,0
2020/21,Romania,0,0,0,0,0
2020/21,Denmark,0,0,0,0,0
2020/21,Finland,0,0,0,0,0
2020/21,Austria,0,0,0,0,0
2020/21,Belarus,0,0,0,0,0
2020/21,Switzerland,0,0,0,0,0
2020/21,Armenia,0,0,0,0,0
2020/21,Hungary,0,0,0,0,0
2020/21,Northern Ireland,0,0,0,0,0
2019/20,England,1,0,0,0,1
2019/20,Spain,2,0,0,0,1
2019/20,Germany,2,2,1,1,4
2019/20,France,2,2,1,0,3
2019/20,Italy,1,0,0,0,1
2019/20,Portugal,0,0,0,0,0
2019/20,Holland,0,0,0,0,0
2019/20,Turkiye,0,0,0,0,0
2019/20,Cyprus,0,0,0,0,0
2019/20,Ukraine,0,0,0,0,0
2019/20,Russia,0,0,0,0,0
2019/20,Greece,0,0,0,0,0
2019/20,Norway,0,0,0,0,0
2019/20,Poland,0,0,0,0,0
2019/20,Sweden,0,0,0,0,0
2019/20,Crotia,0,0,0,0,0
2019/20,Belgium,0,0,0,0,0
2019/20,Scotland,0,0,0,0,0
2019/20,Serbia,0,0,0,0,0
2019/20,Czechia,0,0,0,0,0
2019/20,Bulgaria,0,0,0,0,0
2019/20,Romania,0,0,0,0,0
2019/20,Denmark,0,0,0,0,0
2019/20,Finland,0,0,0,0,0
2019/20,Austria,0,0,0,0,0
2019/20,Belarus,0,0,0,0,0
2019/20,Switzerland,0,0,0,0,0
2019/20,Armenia,0,0,0,0,0
2019/20,Hungary,0,0,0,0,0
2019/20,Northern Ireland,0,0,0,0,0
2018/19,England,4,2,2,1,4
2018/19,Spain,1,1,0,0,2
2018/19,Germany,0,0,0,0,0
2018/19,France,0,0,0,0,0
2018/19,Italy,1,0,0,0,1
2018/19,Portugal,1,0,0,0,1
2018/19,Holland,1,1,0,0,2
2018/19,Turkiye,0,0,0,0,0
2018/19,Cyprus,0,0,0,0,0
2018/19,Ukraine,0,0,0,0,0
2018/19,Russia,0,0,0,0,0
2018/19,Greece,0,0,0,0,0
2018/19,Norway,0,0,0,0,0
2018/19,Poland,0,0,0,0,0
2018/19,Sweden,0,0,0,0,0
2018/19,Crotia,0,0,0,0,0
2018/19,Belgium,0,0,0,0,0
2018/19,Scotland,0,0,0,0,0
2018/19,Serbia,0,0,0,0,0
2018/19,Czechia,0,0,0,0,0
2018/19,Bulgaria,0,0,0,0,0
2018/19,Romania,0,0,0,0,0
2018/19,Denmark,0,0,0,0,0
2018/19,Finland,0,0,0,0,0
2018/19,Austria,0,0,0,0,0
2018/19,Belarus,0,0,0,0,0
2018/19,Switzerland,0,0,0,0,0
2018/19,Armenia,0,0,0,0,0
2018/19,Hungary,0,0,0,0,0
2018/19,Northern Ireland,0,0,0,0,0
2017/18,England,2,1,1,0,3
2017/18,Spain,3,1,1,1,4
2017/18,Germany,1,1,0,0,2
2017/18,France,0,0,0,0,0
2017/18,Italy,2,1,0,0,2
2017/18,Portugal,0,0,0,0,0
2017/18,Holland,0,0,0,0,0
2017/18,Turkiye,0,0,0,0,0
2017/18,Cyprus,0,0,0,0,0
2017/18,Ukraine,0,0,0,0,0
2017/18,Russia,0,0,0,0,0
2017/18,Greece,0,0,0,0,0
2017/18,Norway,0,0,0,0,0
2017/18,Poland,0,0,0,0,0
2017/18,Sweden,0,0,0,0,0
2017/18,Crotia,0,0,0,0,0
2017/18,Belgium,0,0,0,0,0
2017/18,Scotland,0,0,0,0,0
2017/18,Serbia,0,0,0,0,0
2017/18,Czechia,0,0,0,0,0
2017/18,Bulgaria,0,0,0,0,0
2017/18,Romania,0,0,0,0,0
2017/18,Denmark,0,0,0,0,0
2017/18,Finland,0,0,0,0,0
2017/18,Austria,0,0,0,0,0
2017/18,Belarus,0,0,0,0,0
2017/18,Switzerland,0,0,0,0,0
2017/18,Armenia,0,0,0,0,0
2017/18,Hungary,0,0,0,0,0
2017/18,Northern Ireland,0,0,0,0,0
2016/17,England,1,0,0,0,1
2016/17,Spain,3,2,1,1,4
2016/17,Germany,2,0,0,0,1
2016/17,France,1,1,0,0,2
2016/17,Italy,1,1,1,0,3
2016/17,Portugal,0,0,0,0,0
2016/17,Holland,0,0,0,0,0
2016/17,Turkiye,0,0,0,0,0
2016/17,Cyprus,0,0,0,0,0
2016/17,Ukraine,0,0,0,0,0
2016/17,Russia,0,0,0,0,0
2016/17,Greece,0,0,0,0,0
2016/17,Norway,0,0,0,0,0
2016/17,Poland,0,0,0,0,0
2016/17,Sweden,0,0,0,0,0
2016/17,Crotia,0,0,0,0,0
2016/17,Belgium,0,0,0,0,0
2016/17,Scotland,0,0,0,0,0
2016/17,Serbia,0,0,0,0,0
2016/17,Czechia,0,0,0,0,0
2016/17,Bulgaria,0,0,0,0,0
2016/17,Romania,0,0,0,0,0
2016/17,Denmark,0,0,0,0,0
2016/17,Finland,0,0,0,0,0
2016/17,Austria,0,0,0,0,0
2016/17,Belarus,0,0,0,0,0
2016/17,Switzerland,0,0,0,0,0
2016/17,Armenia,0,0,0,0,0
2016/17,Hungary,0,0,0,0,0
2016/17,Northern Ireland,0,0,0,0,0
2015/16,England,1,1,0,0,2
2015/16,Spain,3,2,2,1,4
2015/16,Germany,2,1,0,0,2
2015/16,France,1,0,0,0,1
2015/16,Italy,0,0,0,0,0
2015/16,Portugal,1,0,0,0,1
2015/16,Holland,0,0,0,0,0
2015/16,Turkiye,0,0,0,0,0
2015/16,Cyprus,0,0,0,0,0
2015/16,Ukraine,0,0,0,0,0
2015/16,Russia,0,0,0,0,0
2015/16,Greece,0,0,0,0,0
2015/16,Norway,0,0,0,0,0
2015/16,Poland,0,0,0,0,0
2015/16,Sweden,0,0,0,0,0
2015/16,Crotia,0,0,0,0,0
2015/16,Belgium,0,0,0,0,0
2015/16,Scotland,0,0,0,0,0
2015/16,Serbia,0,0,0,0,0
2015/16,Czechia,0,0,0,0,0
2015/16,Bulgaria,0,0,0,0,0
2015/16,Romania,0,0,0,0,0
2015/16,Denmark,0,0,0,0,0
2015/16,Finland,0,0,0,0,0
2015/16,Austria,0,0,0,0,0
2015/16,Belarus,0,0,0,0,0
2015/16,Switzerland,0,0,0,0,0
2015/16,Armenia,0,0,0,0,0
2015/16,Hungary,0,0,0,0,0
2015/16,Northern Ireland,0,0,0,0,0
2014/15,England,0,0,0,0,0
2014/15,Spain,3,2,1,1,4
2014/15,Germany,1,1,0,0,2
2014/15,France,2,0,0,0,1
2014/15,Italy,1,1,1,0,3
2014/15,Portugal,1,0,0,0,1
2014/15,Holland,0,0,0,0,0
2014/15,Turkiye,0,0,0,0,0
2014/15,Cyprus,0,0,0,0,0
2014/15,Ukraine,0,0,0,0,0
2014/15,Russia,0,0,0,0,0
2014/15,Greece,0,0,0,0,0
2014/15,Norway,0,0,0,0,0
2014/15,Poland,0,0,0,0,0
2014/15,Sweden,0,0,0,0,0
2014/15,Crotia,0,0,0,0,0
2014/15,Belgium,0,0,0,0,0
2014/15,Scotland,0,0,0,0,0
2014/15,Serbia,0,0,0,0,0
2014/15,Czechia,0,0,0,0,0
2014/15,Bulgaria,0,0,0,0,0
2014/15,Romania,0,0,0,0,0
2014/15,Denmark,0,0,0,0,0
2014/15,Finland,0,0,0,0,0
2014/15,Austria,0,0,0,0,0
2014/15,Belarus,0,0,0,0,0
2014/15,Switzerland,0,0,0,0,0
2014/15,Armenia,0,0,0,0,0
2014/15,Hungary,0,0,0,0,0
2014/15,Northern Ireland,0,0,0,0,0
2013/14,England,2,1,0,0,2
2013/14,Spain,3,2,2,1,4
2013/14,Germany,2,1,0,0,2
2013/14,France,1,0,0,0,1
2013/14,Italy,0,0,0,0,0
2013/14,Portugal,0,0,0,0,0
2013/14,Holland,0,0,0,0,0
2013/14,Turkiye,0,0,0,0,0
2013/14,Cyprus,0,0,0,0,0
2013/14,Ukraine,0,0,0,0,0
2013/14,Russia,0,0,0,0,0
2013/14,Greece,0,0,0,0,0
2013/14,Norway,0,0,0,0,0
2013/14,Poland,0,0,0,0,0
2013/14,Sweden,0,0,0,0,0
2013/14,Crotia,0,0,0,0,0
2013/14,Belgium,0,0,0,0,0
2013/14,Scotland,0,0,0,0,0
2013/14,Serbia,0,0,0,0,0
2013/14,Czechia,0,0,0,0,0
2013/14,Bulgaria,0,0,0,0,0
2013/14,Romania,0,0,0,0,0
2013/14,Denmark,0,0,0,0,0
2013/14,Finland,0,0,0,0,0
2013/14,Austria,0,0,0,0,0
2013/14,Belarus,0,0,0,0,0
2013/14,Switzerland,0,0,0,0,0
2013/14,Armenia,0,0,0,0,0
2013/14,Hungary,0,0,0,0,0
2013/14,Northern Ireland,0,0,0,0,0
2012/13,England,0,0,0,0,0
2012/13,Spain,3,2,0,0,2
2012/13,Germany,2,2,2,1,4
2012/13,France,1,0,0,0,1
2012/13,Italy,1,0,0,0,1
2012/13,Portugal,0,0,0,0,0
2012/13,Holland,0,0,0,0,0
2012/13,Turkiye,1,0,0,0,1
2012/13,Cyprus,0,0,0,0,0
2012/13,Ukraine,0,0,0,0,0
2012/13,Russia,0,0,0,0,0
2012/13,Greece,0,0,0,0,0
2012/13,Norway,0,0,0,0,0
2012/13,Poland,0,0,0,0,0
2012/13,Sweden,0,0,0,0,0
2012/13,Crotia,0,0,0,0,0
2012/13,Belgium,0,0,0,0,0
2012/13,Scotland,0,0,0,0,0
2012/13,Serbia,0,0,0,0,0
2012/13,Czechia,0,0,0,0,0
2012/13,Bulgaria,0,0,0,0,0
2012/13,Romania,0,0,0,0,0
2012/13,Denmark,0,0,0,0,0
2012/13,Finland,0,0,0,0,0
2012/13,Austria,0,0,0,0,0
2012/13,Belarus,0,0,0,0,0
2012/13,Switzerland,0,0,0,0,0
2012/13,Armenia,0,0,0,0,0
2012/13,Hungary,0,0,0,0,0
2012/13,Northern Ireland,0,0,0,0,0
2011/12,England,1,1,1,1,4
2011/12,Spain,2,2,0,0,2
2011/12,Germany,1,1,1,0,3
2011/12,France,1,0,0,0,1
2011/12,Italy,1,0,0,0,1
2011/12,Portugal,1,0,0,0,1
2011/12,Holland,0,0,0,0,0
2011/12,Turkiye,0,0,0,0,0
2011/12,Cyprus,1,0,0,0,1
2011/12,Ukraine,0,0,0,0,0
2011/12,Russia,0,0,0,0,0
2011/12,Greece,0,0,0,0,0
2011/12,Norway,0,0,0,0,0
2011/12,Poland,0,0,0,0,0
2011/12,Sweden,0,0,0,0,0
2011/12,Crotia,0,0,0,0,0
2011/12,Belgium,0,0,0,0,0
2011/12,Scotland,0,0,0,0,0
2011/12,Serbia,0,0,0,0,0
2011/12,Czechia,0,0,0,0,0
2011/12,Bulgaria,0,0,0,0,0
2011/12,Romania,0,0,0,0,0
2011/12,Denmark,0,0,0,0,0
2011/12,Finland,0,0,0,0,0
2011/12,Austria,0,0,0,0,0
2011/12,Belarus,0,0,0,0,0
2011/12,Switzerland,0,0,0,0,0
2011/12,Armenia,0,0,0,0,0
2011/12,Hungary,0,0,0,0,0
2011/12,Northern Ireland,0,0,0,0,0
2010/11,England,3,1,1,0,3
2010/11,Spain,2,2,1,1,4
2010/11,Germany,1,1,0,0,2
2010/11,France,0,0,0,0,0
2010/11,Italy,1,0,0,0,1
2010/11,Portugal,0,0,0,0,0
2010/11,Holland,0,0,0,0,0
2010/11,Turkiye,0,0,0,0,0
2010/11,Cyprus,0,0,0,0,0
2010/11,Ukraine,1,0,0,0,1
2010/11,Russia,0,0,0,0,0
2010/11,Greece,0,0,0,0,0
2010/11,Norway,0,0,0,0,0
2010/11,Poland,0,0,0,0,0
2010/11,Sweden,0,0,0,0,0
2010/11,Crotia,0,0,0,0,0
2010/11,Belgium,0,0,0,0,0
2010/11,Scotland,0,0,0,0,0
2010/11,Serbia,0,0,0,0,0
2010/11,Czechia,0,0,0,0,0
2010/11,Bulgaria,0,0,0,0,0
2010/11,Romania,0,0,0,0,0
2010/11,Denmark,0,0,0,0,0
2010/11,Finland,0,0,0,0,0
2010/11,Austria,0,0,0,0,0
2010/11,Belarus,0,0,0,0,0
2010/11,Switzerland,0,0,0,0,0
2010/11,Armenia,0,0,0,0,0
2010/11,Hungary,0,0,0,0,0
2010/11,Northern Ireland,0,0,0,0,0
2009/10,England,2,0,0,0,1
2009/10,Spain,1,1,0,0,2
2009/10,Germany,1,1,1,0,3
2009/10,France,2,1,0,0,2
2009/10,Italy,1,1,1,1,4
2009/10,Portugal,0,0,0,0,0
2009/10,Holland,0,0,0,0,0
2009/10,Turkiye,0,0,0,0,0
2009/10,Cyprus,0,0,0,0,0
2009/10,Ukraine,0,0,0,0,0
2009/10,Russia,1,0,0,0,1
2009/10,Greece,0,0,0,0,0
2009/10,Norway,0,0,0,0,0
